2025-11-01 20:55:38.484 [main] INFO  io.javalin.Javalin - Stopping Javalin ...
2025-11-01 20:55:38.484 [main] INFO  org.eclipse.jetty.server.Server - Stopped Server@16a9a4f1{STOPPING}[11.0.17,sto=0]
2025-11-01 20:55:38.484 [main] INFO  io.javalin.Javalin - Javalin has stopped
2025-11-01 21:07:15.828 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - === Multi-App Scheduler with Web UI ===
2025-11-01 21:07:15.880 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2025-11-01 21:07:16.035 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.4 [built 23-March-2019 23:00:48 -0700; debug? true; trace: 10]
2025-11-01 21:07:16.231 [main] INFO  c.t.scheduler.QuartzTableManager - Checking Quartz tables...
2025-11-01 21:07:16.254 [main] INFO  c.t.scheduler.QuartzTableManager - All Quartz tables exist
2025-11-01 21:07:16.262 [main] INFO  c.t.s.MultiAppSchedulerManager - Quartz tables initialized
2025-11-01 21:07:16.268 [main] INFO  c.t.s.MultiAppSchedulerManager - MultiAppSchedulerManager initialized with shared Quartz scheduler
2025-11-01 21:07:16.360 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sms_job_execution_history' ensured to exist for app 'sms'
2025-11-01 21:07:16.362 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sms' with table prefix 'sms_scheduled_jobs' and history table 'sms_job_execution_history'
